name;frequency
Renata;1223
Layla;1222
Hildegarde;1220
Katharina;1217
Laurine;1216
Lieselotte;1212
Eliza;1207
Salima;1201
Aylin;1199
Hanan;1191
Liana;1188
Louna;1187
Romina;1187
Caro;1185
Salomé;1184
Lili;1177
Lila;1175
Aleksandra;1174
Malgorzata;1174
Marlène;1169
Cathérine;1166
Chelsea;1166
Concetta;1166
Klara;1166
Milena;1165
Houda;1163
Machteld;1162
Annabelle;1160
Nada;1156
Sana;1152
Meriem;1146
Yasmin;1145
Amélia;1140
Victoire;1140
Marielle;1139
Joy;1137
Daria;1135
Fadma;1135
Graziella;1135
Roxanne;1133
Annemieke;1129
Lilly;1127
Esra;1122
Maëlys;1120
Blanche;1119
Elsje;1118
Imke;1116
Leïla;1116
Mirthe;1116
Melina;1112
Enora;1111
Leentje;1111
Hailey;1106
Marie-Laure;1106
Marjolein;1106
Esmée;1105
Zélie;1104
Lesley;1103
Celina;1100
Silvana;1098
Zehra;1097
Rina;1095
Dora;1092
Lucrèce;1092
Azra;1091
Gaby;1091
Wilhelmina;1083
Goedele;1082
Philomena;1079
Kaoutar;1076
Davina;1067
Asmae;1064
Berthe;1061
Eliana;1058
Marylène;1056
Saar;1056
Andreea;1055
Myrthe;1054
Grace;1052
Hiba;1050
Maëva;1049
Noura;1048
Manuella;1047
Esma;1046
Shauni;1046
Alessandra;1045
Daniëlle;1042
Pamela;1042
Svetlana;1041
Nikita;1039
Sterre;1037
Selin;1036
Capucine;1035
Hind;1033
Petronella;1029
Maxime;1028
Manal;1025
Rolande;1022
Cato;1020
Karlien;1018
Eleonora;1017
Karolina;1017
Nel;1013
Madison;1012
Nawal;1012
Beatrix;1011
Debora;1010
Sirine;1006
Beata;1005
Rosie;1004
Théa;1001
Lobke;1000
Selena;997
Serena;996
Inez;994
Maja;993
Luisa;989
Eléa;986
Kawtar;981
Paule;981
Babette;980
Virginia;979
Agathe;975
Alberte;970
Ursula;969
Merve;968
Charlie;967
Anne-Catherine;964
Lucile;964
Annabel;963
Lilia;962
Ysaline;961
Tiziana;960
Ivette;956
Gwenaëlle;953
Marie-Françoise;952
Ada;951
Alida;951
Jasmien;948
Saïda;947
Mélina;944
Pascaline;944
Alma;943
Aziza;942
Ellis;942
Maude;939
Rachelle;939
Erica;938
Cloé;935
Annelien;934
Célestine;933
Marie-Claude;928
Frauke;926
Marilou;926
Fernanda;924
Gladys;924
Kyra;924
Antonietta;923
Eleni;922
Saliha;922
Tatjana;921
Roza;920
Hendrika;919
Chaimae;917
Liza;917
Fenna;916
Safae;916
Maeva;915
Nabila;915
Robin;915
Vincenza;915
Marie-Pierre;912
Mirella;909
Marie-Line;906
Amel;902
Gudrun;902
Soumia;901
Marilyn;900
Hakima;899
Jozefien;899
Melisa;899
Geertrui;898
Renate;897
Apolline;894
Yuna;893
Esmeralda;892
Nisa;892
Alisson;891
Indra;891
Yasemin;890
Nikki;889
Ioana;888
Anna-Maria;885
Anne-Françoise;885
Laly;884
Liese;884
Caterina;883
Dilara;882
Fatna;882
Isaline;880
Sibel;880
Ibtissam;878
Mauricette;878
Flavie;874
Laurien;873
Marie-Noëlle;872
Eléna;871
Josianne;870
Hermine;866
Sally;863
Liene;862
Katy;861
Féline;860
Thalia;860
Annik;858
Antonella;856
Helen;856
Karla;854
Bérénice;853
Carol;851
Nona;851
Maité;850
Annelore;849
Melek;849
Milla;848
Nelle;848
Laïla;847
Lilianne;846
Hedwige;845
Safa;844
Ineke;843
Naoual;843
Aminata;842
Gisela;841
Pia;838
Hildegard;837
Inne;837
Antonina;836
Patrizia;836
Rosine;835
Ann-Sophie;833
Gertrude;833
Anouck;831
Saartje;830
Sienna;830
Luana;829
Celia;828
Noëlle;827
Elsie;826
Marita;825
Daniëlla;824
Shari;824
Dorota;823
Ayla;822
Eugénie;822
Elize;820
Solène;820
Helene;818
Mimount;817
Aurora;814
Elvire;813
Houria;811
Valeria;811
Zainab;811
Marit;809
Florentina;808
Louiza;806
Manou;805
Coraline;803
Naziha;802
Rosaria;801
Ilana;800
Mounia;800
Selina;800
Asya;799
